WorkloadName,InstanceType,Environment,OS,PreInstalledSw,Tenancy,PaymentModel,LeaseContractLength,OfferingClass,PurchaseOption,ProductSKU,Upfront Fee,Hourly Price
wk01,c5.4xlarge,Prod,Linux,NA,Shared,OnDemand,,,,B3W5E2V7FDU3ZKHJ,,0.8450000000
wk02,c5.4xlarge,Prod,Linux,NA,Shared,Reserved,1yr,standard,No Upfront,B3W5E2V7FDU3ZKHJ,,0.5820000000
wk03,c5.4xlarge,Prod,Linux,NA,Shared,Reserved,1yr,standard,Partial Upfront,B3W5E2V7FDU3ZKHJ,,0.2770000000
wk03,c5.4xlarge,Prod,Linux,NA,Shared,Reserved,1yr,standard,Partial Upfront,B3W5E2V7FDU3ZKHJ,2427,
wk04,c5.4xlarge,Prod,Linux,NA,Shared,Reserved,1yr,standard,All Upfront,B3W5E2V7FDU3ZKHJ,4758,
wk04,c5.4xlarge,Prod,Linux,NA,Shared,Reserved,1yr,standard,All Upfront,B3W5E2V7FDU3ZKHJ,,0.0000000000
wk05,c5.4xlarge,Prod,Linux,NA,Shared,Reserved,3yr,standard,No Upfront,B3W5E2V7FDU3ZKHJ,,0.4090000000
wk06,c5.4xlarge,Prod,Linux,NA,Shared,Reserved,3yr,standard,Partial Upfront,B3W5E2V7FDU3ZKHJ,4973,
wk06,c5.4xlarge,Prod,Linux,NA,Shared,Reserved,3yr,standard,Partial Upfront,B3W5E2V7FDU3ZKHJ,,0.1890000000
wk07,c5.4xlarge,Prod,Linux,NA,Shared,Reserved,3yr,standard,All Upfront,B3W5E2V7FDU3ZKHJ,9349,
wk07,c5.4xlarge,Prod,Linux,NA,Shared,Reserved,3yr,standard,All Upfront,B3W5E2V7FDU3ZKHJ,,0.0000000000
wk08,c5.4xlarge,Prod,Linux,NA,Shared,Reserved,1yr,convertible,No Upfront,B3W5E2V7FDU3ZKHJ,,0.6690000000
wk09,c5.4xlarge,Prod,Linux,NA,Shared,Reserved,1yr,convertible,Partial Upfront,B3W5E2V7FDU3ZKHJ,2791,
wk09,c5.4xlarge,Prod,Linux,NA,Shared,Reserved,1yr,convertible,Partial Upfront,B3W5E2V7FDU3ZKHJ,,0.3190000000
wk10,c5.4xlarge,Prod,Linux,NA,Shared,Reserved,1yr,convertible,All Upfront,B3W5E2V7FDU3ZKHJ,5471,
wk10,c5.4xlarge,Prod,Linux,NA,Shared,Reserved,1yr,convertible,All Upfront,B3W5E2V7FDU3ZKHJ,,0.0000000000
wk11,c5.4xlarge,Prod,Linux,NA,Shared,Reserved,3yr,convertible,No Upfront,B3W5E2V7FDU3ZKHJ,,0.4650000000
wk12,c5.4xlarge,Prod,Linux,NA,Shared,Reserved,3yr,convertible,Partial Upfront,B3W5E2V7FDU3ZKHJ,,0.2150000000
wk12,c5.4xlarge,Prod,Linux,NA,Shared,Reserved,3yr,convertible,Partial Upfront,B3W5E2V7FDU3ZKHJ,5661,
wk13,c5.4xlarge,Prod,Linux,NA,Shared,Reserved,3yr,convertible,All Upfront,B3W5E2V7FDU3ZKHJ,,0.0000000000
wk13,c5.4xlarge,Prod,Linux,NA,Shared,Reserved,3yr,convertible,All Upfront,B3W5E2V7FDU3ZKHJ,11096,
